address,info,link,name
東京都千代田区神田小川町2-8 扇ビル 1F,東京・神田にある「神田ポンチ軒」は6年連続ミシュランガイド・ビブグルマンに選出されたトンカツの名店だがイカフライも大人気だという。「さんまが聞いた答えづらい質問、店長は『？』と『？』どっちが好き？」というクイズが出題、正解は「胸とお尻」。正解した人が「イカフライ」を実食した。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1310%2FA131002%2F13141456%2F,神田ポンチ軒
東京都中央区銀座1-20-10,東京・銀座にある「パーラービネフル銀座」はきな粉を使った話題のパンケーキを提供している。「これは何味のかき氷でしょう？」というクイズが出題、正解は「マッコリ」。正解した人が「きな粉と求肥のパンケーキ」を実食した。,,パーラービネフル銀座
東京都港区西麻布4-6-5 協立興産西麻布ビル,東京・西麻布にある「笄軒」はミシュランガイド・ビブグルマンに掲載された名店。「オーナー森山さんの悩みは何でしょう？」というクイズが出題、正解は「職務質問される」。正解した人が「オムライス」を実食した。,,笄軒
東京都品川区西五反田2-17-8,東京・五反田にある「焼きそばバル チェローナ」は近年の焼きそばブームを牽引してきた。「店長藤田さんが明石家さんまの大ファンなのは『？』に感動したから、一体なんでしょう？」というクイズが出題、正解は「名言」。正解した人が「チェローナの焼きそば」を実食した。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1316%2FA131603%2F13228217%2F,焼きそばバル チェローナ
東京都豊島区南池袋2-36-10 SoHo103,東京・池袋にある「洋食UCHOUTEN」はデミグラスソースが売りのハンバーグが有名。全国から客が訪れる。「シェフ柴田さんの奥さんは最近うれしくて泣いてしまったことが、一体何があったのでしょう？」というクイズが出題、正解は「嵐にしやがれが来た」。正解した人が「黒毛和牛ハンバーグ（ライス付き）」を実食した。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1305%2FA130501%2F13003914%2F,洋食UCHOUTEN
東京都品川区戸越2-5-1,「帯広豚丼 炭火焼とんたん」の”かみこみ豚”を使った「かみこみ豚の豚丼」を味わった。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1317%2FA131712%2F13101107%2F,帯広豚丼 炭火焼とんたん
東京都港区赤坂9-5-12パークサイドシックス,東京・赤坂にある「512 CAFE＆GRILL」は、パンケーキや厳選素材を使った料理が人気だという。「卵の中身が空っぽの動物って一体何？」というクイズが出題、正解は「うさぎ」。正解した人が「ザクザクフレンチトースト」を実食した。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1307%2FA130701%2F13174478%2F,512 CAFE＆GRILL
東京都港区赤坂9-5-12パークサイドシックス,東京・赤坂にある「512 CAFE＆GRILL」は、パンケーキや厳選素材を使った料理が人気だという。「卵の中身が空っぽの動物って一体何？」というクイズが出題。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1307%2FA130701%2F13174478%2F,512 CAFE＆GRILL
東京都渋谷区富ヶ谷1-9-20 リンデン代々木公園,東京・代々木八幡にある「貴族と平民」は、ソースまで美味しいと絶賛されているとんかつ屋。「『無銭飲食』のことを何と呼ぶでしょう？」というクイズが出題、正解は「ラジオ」。正解した人が「貴族カツレツ定食」を実食した。,,貴族と平民
東京都豊島区東池袋1-12-14ハヤカワビル,東京・池袋にある「PHO THIN TOKYO」は世界で初めてベトナムからのれん分けした店舗。「PHO THIN TOKYOオープン後オーナーティンさんにある変化が一体何があった？」というクイズが出題、正解は「東京店のオープン以降続々とのれん分けしだした」。正解した人が「牛肉のフォー」を実食した。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1305%2FA130501%2F13232077%2F,PHO THIN TOKYO
東京都豊島区東池袋1-12-14ハヤカワビル,東京・池袋にある「PHO THIN TOKYO」は世界で初めてベトナムからのれん分けした店舗。「PHO THIN TOKYOオープン後オーナーティンさんにある変化が一体何があった？」というクイズが出題。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1305%2FA130501%2F13232077%2F,PHO THIN TOKYO
東京都渋谷区本町3-41-12,東京・渋谷にある「らぁ麺や 嶋」はTRYラーメン大賞でTRY新人大賞に輝いた。「店主盛島さんが今年一番ショックだったことは？」というクイズが出題、正解は「口コミで店主の顔が怖い、店主が強面と書かれたこと」。正解した人が「特製醤油らぁ麺」を実食した。,,らぁ麺や 嶋
東京都目黒区自由が丘1-26-16,東京・自由が丘にある「MILKLAND HOKKAIDO→TOKYO」は北海道アンテナショップである。人気メニューはカルボナーラライス。「北海道の言葉で『こわい』は何という意味？」というクイズが出題、正解は「疲れた」。正解した人が「北海道生まれのカルボナーラライス」を実食した。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1317%2FA131703%2F13232018%2F,MILKLAND HOKKAIDO→TOKYO
東京都港区六本木6-2-31,JR京都駅は何が日本一？正解はホームの長さ。大野が正解して、吉祥菓寮の焦がしきな粉パフェを食べた。出川は「マズいね、これウマいね」とコメントした。,,吉祥菓寮
東京都港区六本木6-2-31,吉祥菓寮六本木ヒルズ店の焦がしきな粉パフェを紹介。ここで問題。JR京都駅は何が日本一？,,吉祥菓寮六本木ヒルズ店
東京都渋谷区神宮前2-3-26,渋谷区・神宮前DEENEY’Sのホットサンド・マクベスを紹介。ここで問題。渡邊嘉一がスコットランドで有名なのはなぜ？正解はフォース鉄道橋を造り、紙幣に描かれている。出川が正解し、マクベスを食べた。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1309%2FA130901%2F13248804%2F,DEENEY’S
東京都世田谷区北沢2-31-9 2F,東北サファリパークのペンギンは何で話題？正解は、芸能人の名字をつけた。櫻井が正解し、虹色CURRY食堂の石鍋チーズキーマカレーを食べた。,https://kakaku.com/jump/?url=https%3A%2F%2Ftabelog%2Ecom%2Ftokyo%2FA1318%2FA131802%2F13244103%2F,虹色CURRY食堂
